Gene	HT-29
15-Sep	 9.876501e-02
A1BG	 3.478261e-02
A1CF	 9.019446e-02
A2M	-6.806573e-02
A2ML1	 2.303912e-01
A3GALT2	 3.346856e-01
A4GALT	-5.778638e-02
A4GNT	-6.786783e-02
AAAS	 1.371469e-01
AACS	 1.446214e-01
AADAC	 1.540533e-01
AADACL2	 1.834309e-01
AADACL3	 2.069138e-02
AADACL4	 2.862106e-01
AADAT	 1.203393e-01
AAED1	 3.010027e-02
AAGAB	 1.410053e-01
AAK1	 1.046817e-01
AAMDC	 1.820568e-01
AAMP	-6.451435e-01
AANAT	 1.395612e-01
AAR2	 8.833646e-02
AARD	 5.715799e-01
AARS	-6.171347e-01
AARS2	-3.797183e-01
AARSD1	 2.011690e-01
AASDH	 1.460442e-01
AASDHPPT	-5.311817e-01
AASS	 1.937961e-02
AATF	-1.596512e-01
AATK	 5.842712e-02
ABAT	-1.682024e-01
ABCA1	 9.845067e-02
ABCA10	 3.418006e-01
ABCA12	 2.337821e-01
ABCA13	 1.425876e-02
ABCA2	 1.088963e-02
ABCA3	 1.457703e-01
ABCA4	 1.161503e-01
ABCA5	 1.187001e-01
ABCA6	 2.604447e-01
ABCA7	 1.576401e-01
ABCA8	 3.814440e-01
ABCA9	 1.552489e-01
ABCB1	-3.433624e-02
ABCB10	 1.087121e-01
ABCB11	-9.089877e-02
ABCB4	 7.681200e-02
ABCB5	 4.380395e-01
ABCB6	 9.318502e-02
ABCB7	-1.412669e+00
ABCB8	-5.003137e-02
ABCB9	-2.798431e-02
ABCC1	 1.771315e-01
ABCC10	-2.034475e-01
ABCC11	 9.223708e-02
ABCC12	-6.306257e-03
ABCC2	 2.015691e-01
ABCC3	 2.941457e-01
ABCC4	 1.116161e-01
ABCC5	 2.871496e-02
ABCC6	-2.176476e-01
ABCC8	 3.731882e-02
ABCC9	 1.898956e-01
ABCD1	 1.238642e-02
ABCD2	-1.517132e-03
ABCD3	 1.909422e-01
ABCD4	-9.173139e-02
ABCE1	-9.334837e-01
ABCF1	-6.251717e-01
ABCF2	-2.310922e-01
ABCF3	 3.042046e-01
ABCG1	 8.279057e-02
ABCG2	 1.471472e-01
ABCG4	 7.087191e-03
ABCG5	 4.189716e-02
ABCG8	-7.631419e-02
ABHD1	 1.062977e-01
ABHD10	-9.090807e-02
ABHD11	 2.546007e-02
ABHD12	-1.731675e-02
ABHD12B	-1.412299e-01
ABHD13	 3.461593e-01
ABHD14A	-1.558958e-02
ABHD14B	-1.435792e-01
ABHD15	 1.420685e-01
ABHD16A	 1.102003e-01
ABHD16B	 1.588650e-02
ABHD17A	-4.970579e-01
ABHD17B	-1.078404e-01
ABHD17C	 1.624871e-01
ABHD2	 1.854663e-01
ABHD3	-5.529904e-02
ABHD4	 3.200519e-01
ABHD5	 9.838733e-02
