Gene	HT-29
A1BG	-4.559012e-03
A1CF	-6.474916e-03
A2M	-6.877756e-02
A2ML1	 1.263033e-01
A3GALT2	-1.838235e-01
A4GALT	 2.277471e-02
A4GNT	 5.353233e-01
AAAS	-6.422726e-02
AACS	 2.037979e-01
AADAC	 2.717642e-01
AADACL2	 1.196685e-02
AADACL3	-8.059845e-02
AADACL4	-6.492190e-02
AADAT	 1.538100e-01
AAGAB	 2.246167e-01
AAK1	-1.306833e-01
AAMDC	 4.237017e-01
AAMP	-1.804130e+00
AANAT	 3.039917e-01
AAR2	 4.984185e-01
AARD	 1.529435e-01
AARS1	-3.103481e+00
AARS2	-2.370199e-01
AARSD1	 7.552766e-02
AASDH	-3.757282e-01
AASDHPPT	-1.324193e-01
AASS	 9.684772e-03
AATF	-3.633302e-01
AATK	 1.890431e-01
ABAT	 3.387904e-01
ABCA1	 2.553949e-01
ABCA10	 4.269315e-01
ABCA12	 2.992240e-01
ABCA13	 2.703612e-01
ABCA2	 2.040824e-01
ABCA3	 2.581245e-01
ABCA4	-8.217552e-02
ABCA5	 3.167810e-01
ABCA6	 2.986933e-01
ABCA7	 3.445859e-01
ABCA8	 4.007049e-01
ABCA9	 4.021515e-01
ABCB1	 1.849966e-02
ABCB10	 3.116459e-01
ABCB11	 7.351392e-02
ABCB4	-4.764359e-02
ABCB5	 4.725194e-01
ABCB6	 5.754453e-02
ABCB7	-9.610288e-01
ABCB8	 9.291263e-02
ABCB9	 3.066987e-01
ABCC1	 4.392841e-01
ABCC10	 1.255177e-01
ABCC11	 1.496823e-01
ABCC12	 4.863467e-01
ABCC2	 3.106885e-01
ABCC3	 4.333616e-01
ABCC4	 5.405996e-01
ABCC5	 4.022067e-01
ABCC6	 4.113375e-01
ABCC8	 5.092656e-01
ABCC9	 8.405872e-02
ABCD1	-6.002214e-02
ABCD2	 6.136704e-02
ABCD3	 8.158314e-03
ABCD4	 3.708284e-01
ABCE1	-3.327054e+00
ABCF1	-3.112371e+00
ABCF2	-3.402537e-01
ABCF3	 2.547082e-01
ABCG1	 1.610360e-01
ABCG2	 2.115375e-01
ABCG4	 5.054436e-02
ABCG5	 1.781350e-01
ABCG8	 6.188545e-02
ABHD1	 2.961558e-01
ABHD10	 1.646887e-01
ABHD11	-1.542383e-01
ABHD12	 7.248455e-03
ABHD12B	 4.812725e-01
ABHD13	 3.039588e-01
ABHD14A	 3.860693e-01
ABHD14B	 6.438647e-02
ABHD15	-1.187116e-02
ABHD16A	 4.474489e-02
ABHD16B	-5.297989e-03
ABHD17A	 3.713398e-01
ABHD17B	 2.309835e-01
ABHD17C	 2.267410e-01
ABHD18	-1.615157e-01
ABHD2	 2.037265e-01
ABHD3	 4.599901e-02
ABHD4	 2.392093e-01
ABHD5	-1.590339e-02
ABHD6	-2.573915e-02
ABHD8	-1.945894e-02
ABI1	 1.459636e-01
ABI2	 7.666985e-03
ABI3	 3.978570e-01
ABI3BP	-1.553102e-01
ABITRAM	 2.364819e-01
ABL1	 3.052481e-01
ABL2	 2.826613e-01
ABLIM1	 3.653845e-01
ABLIM2	 1.507257e-01
ABLIM3	 7.427773e-03
ABO	 3.538261e-01
ABR	 2.712220e-01
ABRA	 2.261644e-01
ABRACL	 1.980952e-01
ABRAXAS1	 8.228507e-03
ABRAXAS2	-7.849256e-03
ABT1	-1.981787e+00
ABTB1	 1.524794e-01
ABTB2	 1.130543e-01
ACAA1	 3.080298e-01
ACAA2	 1.665916e-01
ACACA	-8.750685e-01
ACACB	 2.905491e-01
ACAD10	 1.707125e-01
ACAD11	 1.335572e-01
ACAD8	-9.187897e-02
ACAD9	-3.794931e-01
ACADL	 3.480989e-01
ACADM	 1.490034e-01
ACADS	 4.886650e-01
ACADSB	-1.459635e-01
ACADVL	 4.094529e-01
ACAN	 1.039833e-02
ACAP1	 3.341672e-01
ACAP2	 3.666152e-02
ACAP3	 9.311312e-02
ACAT1	-1.096514e-01
